timestamp,part_id,machine_id,tool_id,shift,batch_id,measurement,lower_tol,upper_tol,result,defect_type
2024-03-10 08:00:00,P10000,M1,T1,C,B23,25.004967141530113,24.98,25.02,PASS,
2024-03-10 08:00:30,P10001,M2,T2,A,B21,24.998617356988287,24.98,25.02,PASS,
2024-03-10 08:01:00,P10002,M5,T1,C,B24,25.00647688538101,24.98,25.02,PASS,
2024-03-10 08:01:30,P10003,M1,T1,A,B22,25.01523029856408,24.98,25.02,PASS,
2024-03-10 08:02:00,P10004,M2,T5,C,B21,24.997658466252766,24.98,25.02,PASS,
2024-03-10 08:02:30,P10005,M5,T2,C,B24,24.997658630430507,24.98,25.02,PASS,
2024-03-10 08:03:00,P10006,M2,T4,C,B23,25.015792128155073,24.98,25.02,PASS,
2024-03-10 08:03:30,P10007,M1,T2,C,B24,25.00767434729153,24.98,25.02,PASS,
2024-03-10 08:04:00,P10008,M3,T3,A,B22,24.99530525614065,24.98,25.02,PASS,
2024-03-10 08:04:30,P10009,M3,T1,A,B24,25.00542560043586,24.98,25.02,PASS,
2024-03-10 08:05:00,P10010,M1,T3,B,B23,24.995365823071875,24.98,25.02,PASS,
2024-03-10 08:05:30,P10011,M1,T6,B,B21,24.9953427024643,24.98,25.02,PASS,
2024-03-10 08:06:00,P10012,M4,T1,C,B23,25.00241962271566,24.98,25.02,PASS,
2024-03-10 08:06:30,P10013,M5,T3,C,B22,24.980867197553422,24.98,25.02,PASS,
2024-03-10 08:07:00,P10014,M1,T1,C,B22,24.98275082167487,24.98,25.02,PASS,
2024-03-10 08:07:30,P10015,M3,T1,A,B21,24.99437712470759,24.98,25.02,PASS,
2024-03-10 08:08:00,P10016,M4,T3,B,B23,24.989871688796654,24.98,25.02,PASS,
2024-03-10 08:08:30,P10017,M2,T3,B,B22,25.00314247332595,24.98,25.02,PASS,
2024-03-10 08:09:00,P10018,M3,T6,C,B21,24.99091975924479,24.98,25.02,PASS,
2024-03-10 08:09:30,P10019,M5,T6,A,B22,24.985876962986648,24.98,25.02,PASS,
2024-03-10 08:10:00,P10020,M2,T4,B,B23,25.014656487689216,24.98,25.02,PASS,
2024-03-10 08:10:30,P10021,M5,T2,C,B23,24.997742236995133,24.98,25.02,PASS,
2024-03-10 08:11:00,P10022,M1,T2,A,B23,25.000675282046878,24.98,25.02,PASS,
2024-03-10 08:11:30,P10023,M4,T3,A,B22,24.985752518137865,24.98,25.02,PASS,
2024-03-10 08:12:00,P10024,M5,T6,B,B22,24.99455617275475,24.98,25.02,PASS,
2024-03-10 08:12:30,P10025,M4,T4,C,B24,25.0011092258971,24.98,25.02,PASS,
2024-03-10 08:13:00,P10026,M2,T3,A,B22,24.988490064225775,24.98,25.02,PASS,
2024-03-10 08:13:30,P10027,M5,T5,B,B24,25.003756980183457,24.98,25.02,PASS,
2024-03-10 08:14:00,P10028,M5,T4,B,B22,24.993993613100812,24.98,25.02,PASS,
2024-03-10 08:14:30,P10029,M2,T5,B,B21,24.997083062502067,24.98,25.02,PASS,
2024-03-10 08:15:00,P10030,M1,T1,A,B22,24.993982933877707,24.98,25.02,PASS,
2024-03-10 08:15:30,P10031,M4,T5,A,B24,25.01852278184509,24.98,25.02,PASS,
2024-03-10 08:16:00,P10032,M4,T5,B,B23,24.99986502775262,24.98,25.02,PASS,
2024-03-10 08:16:30,P10033,M5,T1,C,B21,24.98942289071044,24.98,25.02,PASS,
2024-03-10 08:17:00,P10034,M5,T3,C,B23,25.00822544912103,24.98,25.02,PASS,
2024-03-10 08:17:30,P10035,M1,T3,B,B22,24.98779156350029,24.98,25.02,PASS,
2024-03-10 08:18:00,P10036,M4,T1,C,B23,25.00208863595005,24.98,25.02,PASS,
2024-03-10 08:18:30,P10037,M5,T2,C,B21,24.980403298761203,24.98,25.02,PASS,
2024-03-10 08:19:00,P10038,M3,T6,C,B22,24.986718139511016,24.98,25.02,PASS,
2024-03-10 08:19:30,P10039,M2,T3,A,B21,25.00196861235869,24.98,25.02,PASS,
2024-03-10 08:20:00,P10040,M5,T3,B,B21,25.007384665799954,24.98,25.02,PASS,
2024-03-10 08:20:30,P10041,M1,T3,B,B22,25.0017136828119,24.98,25.02,PASS,
2024-03-10 08:21:00,P10042,M1,T2,C,B21,24.998843517176116,24.98,25.02,PASS,
2024-03-10 08:21:30,P10043,M1,T6,B,B21,24.996988963044107,24.98,25.02,PASS,
2024-03-10 08:22:00,P10044,M5,T2,A,B24,24.985214780096324,24.98,25.02,PASS,
2024-03-10 08:22:30,P10045,M5,T2,B,B24,24.992801557916053,24.98,25.02,PASS,
2024-03-10 08:23:00,P10046,M2,T5,C,B22,24.995393612290403,24.98,25.02,PASS,
